接続キー,種牡馬名,正規名,繁殖登録番号,ID確定区分,接続方法,完成区分,現代出走馬での役割,父出現数,母父出現数,母母父出現数,合計出現数,該当出走馬数,父_父祖先名,父_父M,父_母父祖先名,父_母父M,父_母母父祖先名,父_母母父M,母父_父祖先名,母父_父M,母父_母父祖先名,母父_母父M,母父_母母父祖先名,母父_母母父M,母母父_父祖先名,母母父_父M,母母父_母父祖先名,母母父_母父M,母母父_母母父祖先名,母母父_母母父M,9枝シグネチャ,監査注記
ID:1140007117,I Am Invincible,I Am Invincible,1140007117,確定,繁殖登録番号,A_v9.3直接完成,父・母父,3,1,0,4,4,Green Desert,地,Kris,地,Artaius,バ,Bletchingly,地,Lunchtime,地,Coeur Volant,極,Our Native,極,Grey Dawn,極,Princequillo,極,地-地-バ | 地-地-極 | 極-極-極,
ID:1140007374,Incurable Optimist,Incurable Optimist,1140007374,確定,繁殖登録番号,B_TARGET再構成＋v9.3既存Mで完成,母母父,0,0,4,4,4,Stop the Music,極,Dr. Fager,極,Bold Ruler,極,Bold Reasoning,極,Poker,極,Jet Action,極,Prince John,極,Ballymoss,極,Caldarium,極,極・極・極｜極・極・極｜極・極・極,
ID:1140006645,Intello,Intello,1140006645,確定,繁殖登録番号,A_v9.3直接完成,父・母父,1,3,0,4,4,Sadler's Wells,地,Miswaki,極,Lombard,地,Danzig,地,His Majesty,地,Buckpasser,極,Caro,極,Le Haar,極,Venture,極,地-極-地 | 地-地-極 | 極-極-極,
ID:1140006476,Intense Focus,Intense Focus,1140006476,確定,繁殖登録番号,A_v9.3直接完成,母父,0,4,0,4,4,Storm Cat,地,Rahy,バ,Roberto,極,Danzig,地,His Majesty,地,Buckpasser,極,Ile de Bourbon,地,Blushing Groom,極,Sheshoon,極,地-バ-極 | 地-地-極 | 地-極-極,
ID:1140007024,Intergaze,Intergaze,1140007024,確定,繁殖登録番号,B_TARGET再構成＋v9.3既存Mで完成,母母父,0,0,4,4,4,Lunchtime,地,Recalled,バ,Golden God,極,Stop the Music,極,Etonian,地,Princely Gift,極,Bold Ruler,極,Princequillo,極,Caruso,バ,地・バ・極｜極・地・極｜極・極・バ,
ID:1140005919,Know Heights,Know Heights,1140005919,確定,繁殖登録番号,B_TARGET再構成＋v9.3既存Mで完成,母母父,0,0,4,4,4,Mill Reef,バ,Hardicanute,極,Grandmaster,極,Tom Rolfe,極,War Admiral,極,Tourbillon,極,Double Jay,極,Blue Peter,極,Bahram,極,バ・極・極｜極・極・極｜極・極・極,
ID:1140006134,Lavirco,Lavirco,1140006134,確定,繁殖登録番号,Y_v9.26残件祖先固定8代欠損0運用確定で完成,母母父,0,0,4,4,,Dschingis Khan,極,Tiepoletto,極,Olymp,極,Literat,極,Reliance,極,Hyperion,地,Neckar,バ,Nebelwerfer,極,Bubbles,極,極・極・極｜極・極・地｜バ・極・極,
ID:1140007113,Lord Kanaloa,Lord Kanaloa,1140007113,確定,繁殖登録番号,A_v9.3直接完成,父・母父,2,2,0,4,4,Kingmambo,地,Last Tycoon,地,Blakeney,地,Storm Bird,地,Secretariat,極,Crimson Satan,極,His Majesty,地,Tudor Minstrel,地,Swoon's Son,極,地-地-地 | 地-極-極 | 地-地-極,
ID:1140004688,Major Impact,Major Impact,1140004688,確定,繁殖登録番号,B_TARGET再構成＋v9.3既存Mで完成,母母父,0,0,4,4,4,Hail to Reason,極,Nashua,極,Bull Lea,極,Intentionally,極,Rough'n Tumble,極,War Relic,極,Nasrullah,極,Count Fleet,極,Bull Dog,極,極・極・極｜極・極・極｜極・極・極,
ID:1140006959,Manhattan Rain,Manhattan Rain,1140006959,確定,繁殖登録番号,A_v9.3直接完成,母父,0,4,0,4,4,Fairy King,地,Star Way,バ,Mr. Prospector,極,Bletchingly,地,Lunchtime,地,Coeur Volant,極,Northern Dancer,地,Bull Page,極,Menow,極,地-バ-極 | 地-地-極 | 地-極-極,
