接続キー,種牡馬名,正規名,繁殖登録番号,ID確定区分,接続方法,完成区分,現代出走馬での役割,父出現数,母父出現数,母母父出現数,合計出現数,該当出走馬数,父_父祖先名,父_父M,父_母父祖先名,父_母父M,父_母母父祖先名,父_母母父M,母父_父祖先名,母父_父M,母父_母父祖先名,母父_母父M,母父_母母父祖先名,母父_母母父M,母母父_父祖先名,母母父_父M,母母父_母父祖先名,母母父_母父M,母母父_母母父祖先名,母母父_母母父M,9枝シグネチャ,監査注記
ID:1120001232,サンデーサイレンス,サンデーサイレンス,1120001232,確定,繁殖登録番号,B_TARGET再構成＋v9.3既存Mで完成,母父・母母父,0,630,2628,3258,3258,Hail to Reason,極,Cosmic Bomb,極,Mahmoud,極,Promised Land,極,Stymie,極,Bull Lea,極,Gulf Stream,地,Fox Club,極,Barranquero,極,極・極・極｜極・極・極｜地・極・極,
ID:1120002086,ディープインパクト,ディープインパクト,1120002086,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,624,1736,154,2514,2514,Halo,極,Understanding,極,Montparnasse,地,Lyphard,バ,Sir Ivor,極,Roman,極,Crepello,極,Vimy,極,Court Martial,極,極-極-地 | バ-極-極 | 極-極-極,
ID:1120002006,キングカメハメハ,キングカメハメハ,1120002006,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,325,1516,244,2085,2085,Mr. Prospector,極,Nureyev,地,Prove Out,地,Try My Best,地,Mill Reef,バ,Sayajirao,極,Hethersett,極,Hornbeam,地,Chanteur,極,極-地-地 | 地-バ-極 | 極-地-極,
ID:1120001853,クロフネ,クロフネ,1120001853,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,194,1106,439,1739,1739,Deputy Minister,地,Hold Your Peace,極,Bold Ruler,極,Pago Pago,極,Never Bend,極,Dumpty Humpty,地,Nearctic,地,Native Dancer,極,Fighting Fox,極,地-極-極 | 極-極-地 | 地-極-極,
ID:1120002084,ハーツクライ,ハーツクライ,1120002084,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,598,774,25,1397,1397,Halo,極,Understanding,極,Montparnasse,地,Kampala,極,Hornbeam,地,Preciptic,極,Northern Dancer,地,Court Martial,極,Formor,極,極-極-地 | 極-地-極 | 地-極-極,
ID:1120001847,アグネスタキオン,アグネスタキオン,1120001847,確定,繁殖登録番号,A_v9.3直接完成,母父・母母父,0,930,450,1380,1380,Halo,極,Understanding,極,Montparnasse,地,Raja Baba,極,Involvement,極,Tournoi,極,Alcide,地,Palestine,極,,バ,極-極-地 | 極-極-極 | 地-極-バ,
ID:1120002295,ロードカナロア,ロードカナロア,1120002295,確定,繁殖登録番号,A_v9.3直接完成,父・母父,1090,280,0,1370,1370,Kingmambo,地,Last Tycoon,地,Blakeney,地,Storm Bird,地,Secretariat,極,Crimson Satan,極,His Majesty,地,Tudor Minstrel,地,Swoon's Son,極,地-地-地 | 地-極-極 | 地-地-極,
ID:1120002119,ダイワメジャー,ダイワメジャー,1120002119,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,541,752,21,1314,1314,Halo,極,Understanding,極,Montparnasse,地,Northern Dancer,地,Victoria Park,極,Hyperion,地,Spy Song,極,,バ,,バ,極-極-地 | 地-極-地 | 極-バ-バ,
ID:1120001542,フジキセキ,フジキセキ,1120001542,確定,繁殖登録番号,B_TARGET再構成＋v9.3既存Mで完成,父・母父・母母父,2,748,531,1281,1281,Halo,極,Understanding,極,Montparnasse,地,Wild Risk,極,Verso,極,Easton,極,Intentionally,極,Rough'n Tumble,極,War Relic,極,極・極・地｜極・極・極｜極・極・極,
ID:1120001796,フレンチデピュティ,フレンチデピュティ,1120001796,確定,繁殖登録番号,B_TARGET再構成＋v9.3既存Mで完成,父・母父・母母父,22,656,495,1173,1173,Vice Regent,バ,Bunty's Flight,極,Jabneh,極,Speak John,極,Eight Thirty,極,Blue Larkspur,バ,Nasrullah,極,Discovery,極,Pompey,極,バ・極・極｜極・極・バ｜極・極・極,
ID:1120001164,ブライアンズタイム,ブライアンズタイム,1120001164,確定,繁殖登録番号,C_v9.4高影響祖先補完で完成,母父・母母父,0,495,613,1108,1108,Hail to Reason,極,Nashua,極,Bull Lea,極,Ribot,極,Alibhai,地,Beau Pere,極,Roman,極,Discovery,極,Broomstick,バ,極・極・極｜極・地・極｜極・極・バ,
ID:1120001964,シンボリクリスエス,シンボリクリスエス,1120001964,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,86,799,203,1088,1088,Roberto,極,Princequillo,極,,バ,Seattle Slew,極,Crimson Satan,極,Rasper,地,Jester,極,Olympia,地,Blenheim,極,極-極-バ | 極-極-地 | 極-地-極,
ID:1120002268,ルーラーシップ,ルーラーシップ,1120002268,確定,繁殖登録番号,A_v9.3直接完成,父・母父,827,235,0,1062,1062,Kingmambo,地,Last Tycoon,地,Blakeney,地,Kampala,極,Hornbeam,地,Preciptic,極,Northern Dancer,地,Victoria Park,極,Hyperion,地,地-地-地 | 極-地-極 | 地-極-地,
ID:1120002219,ハービンジャー,ハービンジャー,1120002219,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,613,408,4,1025,1025,Danehill,地,Kahyasi,地,High Line,地,Arctic Tern,極,Lyphard,バ,Le Fabuleux,極,Northern Dancer,地,Sir Ivor,極,Tom Fool,極,地-地-地 | 極-バ-極 | 地-極-極,
ID:1120001614,ダンスインザダーク,ダンスインザダーク,1120001614,確定,繁殖登録番号,B_TARGET再構成＋v9.3既存Mで完成,父・母父・母母父,3,600,398,1001,1001,Halo,極,Understanding,極,Montparnasse,地,Northern Dancer,地,Bull Page,極,Menow,極,Graustark,地,Princequillo,極,War Admiral,極,極・極・地｜地・極・極｜地・極・極,
ID:1120002349,エピファネイア,エピファネイア,1120002349,確定,繁殖登録番号,A_v9.3直接完成,父・母父,920,58,0,978,978,Kris S.,極,Gold Meridian,地,Tri Jet,バ,サンデーサイレンス,地,マルゼンスキー,バ,セントクレスピン,地,Northern Dancer,地,Bold Reason,極,Forli,地,極-地-バ | 地-バ-地 | 地-極-地,
ID:1120001916,マンハッタンカフェ,マンハッタンカフェ,1120001916,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,69,731,133,933,933,Halo,極,Understanding,極,Montparnasse,地,Alleged,地,Boldnesian,極,Summer Tan,地,Henry the Seventh,バ,Arctic Prince,極,Pont l'Eveque,極,極-極-地 | 地-極-地 | バ-極-極,
ID:1120001743,スペシャルウィーク,スペシャルウィーク,1120001743,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,8,609,313,930,930,Halo,極,Understanding,極,Montparnasse,地,Nijinsky,バ,Buckpasser,極,Princequillo,極,Aureole,極,Nearco,極,,バ,極-極-地 | バ-極-極 | 極-極-バ,
ID:1120001131,トニービン,トニービン,1120001131,確定,繁殖登録番号,I_v9.11_TARGET固定8代年代境界反映で完成,母父・母母父,0,87,823,910,,Kalamoun,極,Only For Life,極,Prince Chevalier,極,Hyperion,地,Nasrullah,極,Bois Roussel,極,Precipitation,極,Gainsborough,極,The Tetrarch,バ,極・極・極｜地・極・極｜極・極・バ,
ID:1120002352,キズナ,キズナ,1120002352,確定,繁殖登録番号,A_v9.3直接完成,父・母父,855,36,0,891,891,サンデーサイレンス,地,Alzao,バ,Busted,極,Storm Bird,地,Secretariat,極,Crimson Satan,極,Sword Dancer,極,My Babu,極,Sickle,極,地-バ-極 | 地-極-極 | 極-極-極,
ID:1140002183,Storm Cat,Storm Cat,1140002183,確定,繁殖登録番号,G_v9.4-v9.9追加祖先反映で完成,母父・母母父,0,167,702,869,,Northern Dancer,地,New Providence,極,Chop Chop,極,Bold Ruler,極,Princequillo,極,Caruso,バ,Spy Song,極,Requiebro,極,Papanatas,バ,地・極・極｜極・極・バ｜極・極・バ,
ID:1120002004,ネオユニヴァース,ネオユニヴァース,1120002004,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,117,617,87,821,821,Halo,極,Understanding,極,Montparnasse,地,Sharpen Up,地,Reliance,極,Crepello,極,Sicambre,極,Hyperion,地,,バ,極-極-地 | 地-極-極 | 極-地-バ,
ID:1120002294,オルフェーヴル,オルフェーヴル,1120002294,確定,繁殖登録番号,A_v9.3直接完成,父・母父,646,166,0,812,812,サンデーサイレンス,地,デイクタス,極,ノーザンテースト,地,メジロテイターン,地,リマンド,バ,ヒンドスタン,極,Northern Dancer,地,Victoria Park,極,Hyperion,地,地-極-地 | 地-バ-極 | 地-極-地,
ID:1120001700,タイキシャトル,タイキシャトル,1120001700,確定,繁殖登録番号,B_TARGET再構成＋v9.3既存Mで完成,父・母父・母母父,37,489,259,785,785,Halo,極,Herbager,極,Cohoes,極,Nijinsky,バ,Round Table,極,Hail to Reason,極,Forli,地,Nantallah,極,Gold Bridge,極,極・極・極｜バ・極・極｜地・極・極,
ID:1120001520,サクラバクシンオー,サクラバクシンオー,1120001520,確定,繁殖登録番号,C_v9.4+v9.5追加祖先反映で完成,母父・母母父,0,491,267,758,,テスコボーイ,地,ネヴアービート,極,ユアハイネス,極,Northern Dancer,地,Victoria Park,極,Hyperion,地,Ambiorix,極,Bull Lea,極,Equipoise,バ,地・極・極｜地・極・地｜極・極・バ,
ID:1120002397,モーリス,モーリス,1120002397,確定,繁殖登録番号,A_v9.3直接完成,父・母父,676,20,0,696,696,グラスワンダー,地,サンデーサイレンス,地,ノーザンテースト,地,Sadler's Wells,地,Riverman,極,Sunny Boy,極,Lyphard,バ,Lucky Debonair,極,Palestinian,極,地-地-地 | 地-極-極 | バ-極-極,
ID:1120002051,ゼンノロブロイ,ゼンノロブロイ,1120002051,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,94,540,58,692,692,Halo,極,Understanding,極,Montparnasse,地,Mr. Prospector,極,Buckpasser,極,Majestic Prince,バ,Icecapade,バ,Better Bee,バ,Djeddah,極,極-極-地 | 極-極-バ | バ-バ-極,
ID:1120001954,ゴールドアリュール,ゴールドアリュール,1120001954,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,175,478,21,674,674,Halo,極,Understanding,極,Montparnasse,地,Northern Dancer,地,Forli,地,Nantallah,極,Nijinsky,バ,Val de Loir,極,Count Fleet,極,極-極-地 | 地-地-極 | バ-極-極,
ID:1120002121,アドマイヤムーン,アドマイヤムーン,1120002121,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,258,392,21,671,671,Forty Niner,地,Dance Spell,地,Thinking Cap,地,Halo,極,Understanding,極,Montparnasse,地,Sharpen Up,地,Reliance,極,Crepello,極,地-地-地 | 極-極-地 | 地-極-極,
ID:1120002390,ドゥラメンテ,ドゥラメンテ,1120002390,確定,繁殖登録番号,A_v9.3直接完成,父・母父,622,28,0,650,650,Kingmambo,地,Last Tycoon,地,Blakeney,地,Halo,極,Understanding,極,Montparnasse,地,Kampala,極,Hornbeam,地,Preciptic,極,地-地-地 | 極-極-地 | 極-地-極,
ID:1120001872,ステイゴールド,ステイゴールド,1120001872,確定,繁殖登録番号,B_TARGET再構成＋v9.3既存Mで完成,父・母父・母母父,82,510,53,645,645,Halo,極,Understanding,極,Montparnasse,地,Sanctus,極,Worden,極,Bozzetto,極,Northern Dancer,地,Victoria Park,極,Hyperion,地,極・極・地｜極・極・極｜地・極・地,
ID:1120002307,ヘニーヒューズ,ヘニーヒューズ,1120002307,確定,繁殖登録番号,A_v9.3直接完成,父・母父,528,102,0,630,630,Storm Cat,地,Hawaii,バ,Tom Cat,極,Hold Your Peace,極,Raise a Native,極,Porterhouse,極,Olden Times,極,Jet Action,極,Occupation,極,地-バ-極 | 極-極-極 | 極-極-極,
ID:1120001914,ジャングルポケット,ジャングルポケット,1120001914,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,128,418,82,628,628,Kampala,極,Hornbeam,地,Preciptic,極,Northern Dancer,地,Forli,地,Nantallah,極,Noholme,地,Double Jay,極,Don Bingo,極,極-地-極 | 地-地-極 | 地-極-極,
ID:1120002238,キンシャサノキセキ,キンシャサノキセキ,1120002238,確定,繁殖登録番号,A_v9.3直接完成,父・母父,415,172,0,587,587,Sunday Silence,地,Le Fabuleux,極,In Reality,極,His Majesty,地,Sunrise Flight,極,Cockrullah,極,Northern Dancer,地,Court Martial,極,Formor,極,地-極-極 | 地-極-極 | 地-極-極,
ID:1120000291,ノーザンテースト,ノーザンテースト,1120000291,確定,繁殖登録番号,F_v9.4-v9.8追加祖先反映で完成,母父・母母父,0,11,569,580,,Nearctic,地,Native Dancer,極,Mahmoud,極,Chop Chop,極,Windfields,極,Osiris,極,Gainsborough,極,Chaucer,極,Minoru,バ,地・極・極｜極・極・極｜極・極・バ,
ID:1120002246,ヴィクトワールピサ,ヴィクトワールピサ,1120002246,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,328,235,2,565,565,サンデーサイレンス,地,Kris,地,Shantung,地,Mr. Prospector,極,Halo,極,Hoist the Flag,極,Busted,極,Doutelle,極,Fairway,極,地-地-地 | 極-極-極 | 極-極-極,
ID:1120002330,ジャスタウェイ,ジャスタウェイ,1120002330,確定,繁殖登録番号,A_v9.3直接完成,父・母父,492,59,0,551,551,サンデーサイレンス,地,トニービン,地,Lyphard,バ,Icecapade,バ,Khaled,地,Dante,極,Hard Work,地,Pan Dancer,極,Rough'n Tumble,極,地-地-バ | バ-地-極 | 地-極-極,
ID:1140001591,Sadler's Wells,Sadler's Wells,1140001591,確定,繁殖登録番号,B_TARGET再構成＋v9.3既存Mで完成,母父・母母父,0,71,470,541,541,Nearctic,地,Native Dancer,極,Mahmoud,極,Hail to Reason,極,Djeddah,極,Bimelech,極,Aristophanes,地,Advocate,極,Foxglove,極,地・極・極｜極・極・極｜地・極・極,
ID:1120002395,リオンディーズ,リオンディーズ,1120002395,確定,繁殖登録番号,A_v9.3直接完成,父・母父,527,4,0,531,531,Kingmambo,地,Last Tycoon,地,Blakeney,地,サンデーサイレンス,地,マルゼンスキー,バ,セントクレスピン,地,Northern Dancer,地,Bold Reason,極,Forli,地,地-地-地 | 地-バ-地 | 地-極-地,
ID:1120002159,ブラックタイド,ブラックタイド,1120002159,確定,繁殖登録番号,A_v9.3直接完成,父・母父,347,179,0,526,526,Halo,極,Understanding,極,Montparnasse,地,Lyphard,バ,Sir Ivor,極,Roman,極,Crepello,極,Vimy,極,Court Martial,極,極-極-地 | バ-極-極 | 極-極-極,
ID:1120002429,ドレフォン,ドレフォン,1120002429,確定,繁殖登録番号,A_v9.3直接完成,父・母父,512,3,0,515,515,Tale of the Cat,地,Alydar,バ,Salt Marsh,極,Awesome Again,地,Relaunch,極,Tri Jet,バ,Sharpen Up,地,ヴアイスリーガル,バ,Molvedo,極,地-バ-極 | 地-極-バ | 地-バ-極,
ID:1140001191,Caerleon,Caerleon,1140001191,確定,繁殖登録番号,B_TARGET再構成＋v9.3既存Mで完成,母父・母母父,0,13,477,490,490,Northern Dancer,地,Bull Page,極,Menow,極,Princequillo,極,Sir Cosmo,極,Friar Marcus,極,Turn-to,極,Blue Swords,極,Sir Gallahad,極,地・極・極｜極・極・極｜極・極・極,
ID:1120002115,シニスターミニスター,シニスターミニスター,1120002115,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,397,92,1,490,490,A.P. Indy,バ,Vigors,極,Crozier,地,Deputy Minister,地,Illustrious,極,Hail to Reason,極,Mr. Leader,極,Bold Lad (USA),極,Blue Choir,極,バ-極-地 | 地-極-極 | 極-極-極,
ID:1120001507,アフリート,アフリート,1120001507,確定,繁殖登録番号,B_TARGET再構成＋v9.3既存Mで完成,母父・母母父,0,181,301,482,482,Raise a Native,極,Nashua,極,Count Fleet,極,Tom Fool,極,Princequillo,極,Nasrullah,極,Traffic Judge,地,Citation,地,Roman,極,極・極・極｜極・極・極｜地・地・極,
ID:1120002183,パイロ,パイロ,1120002183,確定,繁殖登録番号,A_v9.3直接完成,父・母父,350,126,0,476,476,A.P. Indy,バ,Mr. Prospector,極,Honest Pleasure,極,Icecapade,バ,Khaled,地,Dante,極,Al Hattab,バ,Gray Phantom,極,Dante,極,バ-極-極 | バ-地-極 | バ-極-極,
ID:1120002369,ゴールドシップ,ゴールドシップ,1120002369,確定,繁殖登録番号,A_v9.3直接完成,父・母父,464,10,0,474,474,サンデーサイレンス,地,デイクタス,極,ノーザンテースト,地,メジロテイターン,地,リマンド,バ,ヒンドスタン,極,The Minstrel,バ,Roberto,極,Sicambre,極,地-極-地 | 地-バ-極 | バ-極-極,
ID:1120002441,シルバーステート,シルバーステート,1120002441,確定,繁殖登録番号,A_v9.3直接完成,父・母父,459,2,0,461,461,サンデーサイレンス,地,Alzao,バ,Busted,極,Roberto,極,Amerigo,バ,Mat de Cocagne,極,Nijinsky,バ,Tom Rolfe,極,Ridan,極,地-バ-極 | 極-バ-極 | バ-極-極,
ID:1140003006,Kingmambo,Kingmambo,1140003006,確定,繁殖登録番号,H_v9.4-v9.10追加祖先反映で完成,母父・母母父,0,131,327,458,,Raise a Native,極,Nashua,極,Count Fleet,極,Northern Dancer,地,Forli,地,Nantallah,極,Graustark,地,Bold Venture,極,Equipoise,バ,極・極・極｜地・地・極｜地・極・バ,
ID:1120001975,サウスヴィグラス,サウスヴィグラス,1120001975,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,163,275,19,457,457,Forty Niner,地,Dance Spell,地,Thinking Cap,地,Naskra,極,Clandestine,極,Tudor Minstrel,地,Bold Ruler,極,Eight Thirty,極,Pharis,極,地-地-地 | 極-極-地 | 極-極-極,
ID:1120002221,エンパイアメーカー,エンパイアメーカー,1120002221,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,54,399,1,454,454,Fappiano,極,Le Fabuleux,極,In Reality,極,Northern Dancer,地,Buckpasser,極,Traffic Judge,地,Intentionally,極,Rough'n Tumble,極,War Relic,極,極-極-極 | 地-極-地 | 極-極-極,
ID:1120002354,マジェスティックウォリアー,マジェスティックウォリアー,1120002354,確定,繁殖登録番号,A_v9.3直接完成,父・母父,418,14,0,432,432,Seattle Slew,極,Secretariat,極,Buckpasser,極,Mr. Prospector,極,Buckpasser,極,Hasty Road,極,Northern Dancer,地,Delta Judge,地,Warfare,地,極-極-極 | 極-極-極 | 地-地-地,
ID:1120002202,スクリーンヒーロー,スクリーンヒーロー,1120002202,確定,繁殖登録番号,A_v9.3直接完成,父・母父,331,99,0,430,430,Silver Hawk,バ,Danzig,地,His Majesty,地,Halo,極,Understanding,極,Montparnasse,地,Northern Dancer,地,Victoria Park,極,Hyperion,地,バ-地-地 | 極-極-地 | 地-極-地,
ID:1140002552,Seeking the Gold,Seeking the Gold,1140002552,確定,繁殖登録番号,C_v9.4高影響祖先補完で完成,母父・母母父,0,60,369,429,429,Raise a Native,極,Nashua,極,Count Fleet,極,Tom Fool,極,War Admiral,極,Blue Larkspur,バ,Roman,極,Discovery,極,Broomstick,バ,極・極・極｜極・極・バ｜極・極・バ,
ID:1120001981,アグネスデジタル,アグネスデジタル,1120001981,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,36,317,64,417,417,Mr. Prospector,極,In Reality,極,Royal Note,極,Danzig,地,Secretariat,極,Swoon's Son,極,Hoist the Flag,極,Prince John,極,Determine,地,極-極-極 | 地-極-極 | 極-極-地,
ID:1120002293,エイシンフラッシュ,エイシンフラッシュ,1120002293,確定,繁殖登録番号,A_v9.3直接完成,父・母父,347,65,0,412,412,Kingmambo,地,Lombard,地,Espresso,地,Surumu,地,Stanford,極,Northfields,バ,Kris,地,Home Guard,地,St. Paddy,地,地-地-地 | 地-極-バ | 地-地-地,
ID:1120002426,キタサンブラック,キタサンブラック,1120002426,確定,繁殖登録番号,A_v9.3直接完成,父・母父,409,1,0,410,410,サンデーサイレンス,地,Alzao,バ,Busted,極,サクラユタカオー,地,ノーザンテースト,地,Ambiopoise,極,Honest Pleasure,極,Victoria Park,極,Stratus,極,地-バ-極 | 地-地-極 | 極-極-極,
ID:1120001901,タニノギムレット,タニノギムレット,1120001901,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,57,291,54,402,402,Roberto,極,Graustark,地,Hasty Road,極,Caro,極,Sicambre,極,Blue Peter,極,Dan Cupid,極,Sicambre,極,Maurepas,極,極-地-極 | 極-極-極 | 極-極-極,
ID:1120001801,キングヘイロー,キングヘイロー,1120001801,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,55,272,62,389,389,Lyphard,バ,Drone,極,Pago Pago,極,Hail to Reason,極,Cosmic Bomb,極,Mahmoud,極,Sir Gaylord,極,Mr. Trouble,極,Pharamond,極,バ-極-極 | 極-極-極 | 極-極-極,
ID:1120002425,イスラボニータ,イスラボニータ,1120002425,確定,繁殖登録番号,A_v9.3直接完成,父・母父,383,1,0,384,384,サンデーサイレンス,地,Le Fabuleux,極,In Reality,極,Caro,極,Prince John,極,Sir Gaylord,極,Mr. Prospector,極,In Reality,極,Royal Note,極,地-極-極 | 極-極-極 | 極-極-極,
ID:1120002398,ミッキーアイル,ミッキーアイル,1120002398,確定,繁殖登録番号,A_v9.3直接完成,父・母父,381,3,0,384,384,サンデーサイレンス,地,Alzao,バ,Busted,極,Danehill,地,Be My Guest,地,Bold Lad (IRE),バ,Northern Dancer,地,Forli,地,Nantallah,極,地-バ-極 | 地-地-バ | 地-地-極,
ID:1120001551,フォーティナイナー,フォーティナイナー,1120001551,確定,繁殖登録番号,B_TARGET再構成＋v9.3既存Mで完成,母父・母母父,0,119,262,381,381,Raise a Native,極,Nashua,極,Count Fleet,極,Ribot,極,Roman,極,Princequillo,極,Balladier,バ,Whisk Broom,バ,Sain,極,極・極・極｜極・極・極｜バ・バ・極,
ID:1120002458,リアルスティール,リアルスティール,1120002458,確定,繁殖登録番号,A_v9.3直接完成,父,371,0,0,371,371,サンデーサイレンス,地,Alzao,バ,Busted,極,Storm Bird,地,Secretariat,極,Crimson Satan,極,Raise a Native,極,Nashua,極,Count Fleet,極,地-バ-極 | 地-極-極 | 極-極-極,
ID:1120002267,ディープブリランテ,ディープブリランテ,1120002267,確定,繁殖登録番号,A_v9.3直接完成,父・母父,254,99,0,353,353,サンデーサイレンス,地,Alzao,バ,Busted,極,Riverman,極,Nureyev,地,Primera,極,Labus,極,Abdos,極,Shantung,地,地-バ-極 | 極-地-極 | 極-極-地,
ID:1120002063,バゴ,バゴ,1120002063,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,212,121,19,352,352,Blushing Groom,極,Bustino,極,Queen's Hussar,極,Northern Dancer,地,Forli,地,Nantallah,極,Raise a Native,極,Nashua,極,Count Fleet,極,極-極-極 | 地-地-極 | 極-極-極,
ID:1120002410,ホッコータルマエ,ホッコータルマエ,1120002410,確定,繁殖登録番号,A_v9.3直接完成,父,342,0,0,342,342,Kingmambo,地,Last Tycoon,地,Blakeney,地,Runaway Groom,極,Silver Saber,極,Francis S.,極,Fappiano,極,Le Fabuleux,極,In Reality,極,地-地-地 | 極-極-極 | 極-極-極,
ID:1140004523,Giant's Causeway,Giant's Causeway,1140004523,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,5,159,177,341,341,Storm Bird,地,Secretariat,極,Crimson Satan,極,Blushing Groom,極,Halo,極,Herbager,極,Hail to Reason,極,Nashua,極,Bull Lea,極,地-極-極 | 極-極-極 | 極-極-極,
ID:1120001525,ホワイトマズル,ホワイトマズル,1120001525,確定,繁殖登録番号,B_TARGET再構成＋v9.3既存Mで完成,父・母父・母母父,8,181,152,341,341,Lyphard,バ,Drone,極,Pago Pago,極,Pitcairn,地,High Hat,地,Major Portion,極,Bold Ruler,極,My Babu,極,Panorama,極,バ・極・極｜地・地・極｜極・極・極,
ID:1120001791,グラスワンダー,グラスワンダー,1120001791,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,58,169,113,340,340,Roberto,極,Amerigo,バ,Mat de Cocagne,極,Northern Dancer,地,Admiral's Voyage,バ,Petition,極,Ribot,極,Alibhai,地,Beau Pere,極,極-バ-極 | 地-バ-極 | 極-地-極,
ID:1120001734,エルコンドルパサー,エルコンドルパサー,1120001734,確定,繁殖登録番号,A_v9.3直接完成,母父・母母父,0,83,254,337,337,Mr. Prospector,極,Nureyev,地,Prove Out,地,Northern Dancer,地,Bold Reason,極,Forli,地,Bold Reasoning,極,Poker,極,Jet Action,極,極-地-地 | 地-極-地 | 極-極-極,
ID:1120002289,ノヴェリスト,ノヴェリスト,1120002289,確定,繁殖登録番号,A_v9.3直接完成,父・母父,243,92,0,335,335,Konigsstuhl,極,Surumu,地,Authi,地,Ile de Bourbon,地,Literat,極,Crepello,極,Northern Dancer,地,Chop Chop,極,Windfields,極,極-地-地 | 地-極-極 | 地-極-極,
ID:1120001261,ジェイドロバリー,ジェイドロバリー,1120001261,確定,繁殖登録番号,B_TARGET再構成＋v9.3既存Mで完成,母父・母母父,0,37,290,327,327,Raise a Native,極,Nashua,極,Count Fleet,極,Northern Dancer,地,Bull Page,極,Menow,極,Aristophanes,地,Advocate,極,Foxglove,極,極・極・極｜地・極・極｜地・極・極,
ID:1120002396,マクフィ,マクフィ,1120002396,確定,繁殖登録番号,A_v9.3直接完成,父・母父,325,2,0,327,327,Dubai Millennium,地,Deploy,バ,ダンシングブレーヴ,バ,Danzig,地,Sir Ivor,極,Never Bend,極,Riverman,極,Klairon,極,East Side,極,地-バ-バ | 地-極-極 | 極-極-極,
ID:1140002540,Gone West,Gone West,1140002540,確定,繁殖登録番号,G_v9.4-v9.9追加祖先反映で完成,母父・母母父,0,65,258,323,,Raise a Native,極,Nashua,極,Count Fleet,極,Bold Ruler,極,Princequillo,極,Caruso,バ,Tom Fool,極,Bull Lea,極,The Porter,バ,極・極・極｜極・極・バ｜極・極・バ,
ID:1140003840,Unbridled's Song,Unbridled's Song,1140003840,確定,繁殖登録番号,B_TARGET再構成＋v9.3既存Mで完成,父・母父・母母父,1,125,196,322,322,Fappiano,極,Le Fabuleux,極,In Reality,極,Fortino,極,Chamossaire,極,Solario,極,Olympia,地,Royal Charger,極,Mahmoud,極,極・極・極｜極・極・極｜地・極・極,
ID:1120002436,ビッグアーサー,ビッグアーサー,1120002436,確定,繁殖登録番号,A_v9.3直接完成,父,320,0,0,320,320,サクラユタカオー,地,ノーザンテースト,地,Ambiopoise,極,Mr. Prospector,極,Nureyev,地,Prove Out,地,Northern Dancer,地,Bold Reason,極,Forli,地,地-地-極 | 極-地-地 | 地-極-地,
ID:1120002483,サトノダイヤモンド,サトノダイヤモンド,1120002483,確定,繁殖登録番号,A_v9.3直接完成,父,319,0,0,319,319,サンデーサイレンス,地,Alzao,バ,Busted,極,Lure,地,Devil's Bag,バ,Hoist the Flag,極,Halo,極,Northern Dancer,地,Sea-Bird,極,地-バ-極 | 地-バ-極 | 極-地-極,
ID:1120002503,レイデオロ,レイデオロ,1120002503,確定,繁殖登録番号,A_v9.3直接完成,父,319,0,0,319,319,Kingmambo,地,Last Tycoon,地,Blakeney,地,Kris S.,極,Gold Meridian,地,Tri Jet,バ,Mr. Prospector,極,Buckpasser,極,Hasty Road,極,地-地-地 | 極-地-バ | 極-極-極,
ID:1120001906,スウェプトオーヴァーボード,スウェプトオーヴァーボード,1120001906,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,92,193,33,318,318,Forty Niner,地,Dance Spell,地,Thinking Cap,地,Damascus,極,Dunce,極,My Babu,極,Ambiorix,極,Reaping Reward,極,,バ,地-地-地 | 極-極-極 | 極-極-バ,
ID:1140002924,A.P. Indy,A.P. Indy,1140002924,確定,繁殖登録番号,B_TARGET再構成＋v9.3既存Mで完成,母父・母母父,0,52,263,315,315,Bold Reasoning,極,Poker,極,Jet Action,極,Bold Ruler,極,Princequillo,極,Caruso,バ,Tom Fool,極,War Admiral,極,Blue Larkspur,バ,極・極・極｜極・極・バ｜極・極・バ,
