検証軸,条件,ブロック,3枝パターン,出走数,勝率,市場期待勝率,勝A_E,勝z,複勝率,市場期待複勝率,複勝A_E,複勝z,単勝回収率,勝期待判定,複勝期待判定
ダート馬場状態×含水率階層,良×やや低,母父ブロック,地極地,713,0.061711079943899017,0.0798982070237736,0.7723712739328052,-1.938732621389081,0.19074333800841514,0.2359266690613299,0.8084856992527233,-3.446184972942265,51.23422159887798,やや弱,弱
ダート馬場状態×含水率階層,良×やや低,父ブロック,バ極地,697,0.11190817790530846,0.08320963674760494,1.344894441070007,2.9474726065037213,0.2568149210903874,0.24783648705748948,1.036227248616606,0.6478171825605892,82.0229555236729,強,中立
ダート馬場状態×含水率階層,良×低,父ブロック,バ極地,914,0.07549234135667396,0.07362923320738378,1.0253039189480972,0.23103987491660602,0.2549234135667396,0.2219299997714537,1.148665857834736,2.838299437539896,109.58424507658641,中立,強
ダート馬場状態×含水率階層,良×標準,父ブロック,極極地,2153,0.06270320483046911,0.07053189156881368,0.8890050080295012,-1.5258643582336413,0.19089642359498374,0.21164042363556687,0.9019846979880216,-2.823751336203719,53.40455178820251,やや弱,やや弱
ダート馬場状態×含水率階層,良×標準,父ブロック,バ極地,744,0.09274193548387097,0.0833758926072607,1.1123351436934978,0.9964907717756221,0.28225806451612906,0.24700786009373404,1.142708836913199,2.668817478715656,99.62365591397852,中立,強
ダート馬場状態×含水率階層,良×やや高,父ブロック,地地地,2184,0.06593406593406594,0.07035818731563419,0.9371200204217714,-0.8704737407696855,0.1936813186813187,0.21292044879782374,0.9096416984600039,-2.6418894323082753,56.891025641025614,中立,やや弱
ダート馬場状態×含水率階層,良×標準,父ブロック,地極極,2570,0.07704280155642024,0.06899403527595598,1.116658871281721,1.7261951897770118,0.2272373540856031,0.20967948667008476,1.0837366959179195,2.6008543857666298,91.8910505836576,やや強,やや強
ダート馬場状態×含水率階層,良×標準,父ブロック,極地バ,729,0.053497942386831275,0.07027234181411876,0.7612944297251631,-1.9145030209597198,0.18106995884773663,0.21288697638957635,0.8505450259032492,-2.5166552073360893,30.205761316872426,やや弱,弱
ダート馬場状態×含水率階層,良×やや低,母父ブロック,極地地,1443,0.09078309078309078,0.07508388313856312,1.209088914801538,2.4339688519229856,0.22245322245322247,0.22519621731087172,0.9878195340472229,-0.29783926014857387,75.81427581427582,強,中立
ダート馬場状態×含水率階層,良×やや低,父ブロック,極極地,2183,0.07787448465414568,0.06590010556906747,1.1817050061100174,2.41566330675336,0.19331195602382042,0.2004263702712889,0.9645036018072936,-0.9818289719281947,95.11223087494272,強,中立
