ブロック,方向,信頼度,条件,3枝パターン,出走数,勝率,市場期待勝率,勝A_E,勝z,複勝率,市場期待複勝率,複勝A_E,複勝z,単勝回収率,勝期待判定,複勝期待判定,総合強度
母母父ブロック,プラス,B,京都×2000×芝,極極極,902,0.09866962305986696,0.09281162456561982,1.0631170774314527,0.6595790012960694,0.30376940133037694,0.2751364110366933,1.1040683426297402,2.374953435429314,96.69623059866962,中立,強,2.374953435429314
母母父ブロック,プラス,C,東京×1600×芝,極極地,478,0.07531380753138076,0.06206881498890429,1.2133920640315785,1.2932466922637365,0.2301255230125523,0.19661771117239354,1.1704211265625977,2.240815030029965,46.38075313807531,中立,強,2.240815030029965
母母父ブロック,プラス,B,中山×1800×ダ,バ極極,698,0.08022922636103152,0.07411669305134921,1.0824717490491305,0.6690097562745584,0.24785100286532952,0.2235150471038751,1.1088783778845308,1.8582401103042865,112.17765042979941,中立,やや強,1.8582401103042865
母母父ブロック,プラス,B,新潟×1200×ダ,地極極,1206,0.08540630182421227,0.0728592428262184,1.172209571652024,1.790409472567791,0.22885572139303484,0.21680245331562806,1.0555956258477353,1.1982059674263643,89.17910447761194,やや強,中立,1.790409472567791
母母父ブロック,プラス,C,中山×1600×芝,バ極極,337,0.09792284866468842,0.08168583470095137,1.198773924795898,1.175642947623377,0.27299703264094954,0.23920366338763446,1.1412744636713705,1.7627079826906717,73.5311572700297,中立,やや強,1.7627079826906717
母母父ブロック,プラス,C,阪神×1400×ダ,バ極極,418,0.08851674641148326,0.07234715819349025,1.223499977355682,1.3650162422206373,0.24641148325358853,0.21676636241835504,1.1367607063406773,1.7336883830535708,79.33014354066985,中立,やや強,1.7336883830535708
母母父ブロック,プラス,B,函館×1000×ダ,極極極,716,0.10474860335195531,0.08849765920927677,1.1836313444658322,1.6446245821472605,0.26955307262569833,0.26503154673083607,1.0170603309328088,0.32810236324268377,55.61452513966481,やや強,中立,1.6446245821472605
母母父ブロック,プラス,B,中京×1900×ダ,地極極,530,0.08490566037735849,0.07344841320421772,1.1559903975227455,1.0867104120557103,0.24716981132075472,0.22286068819671503,1.1090776633633226,1.6114773863508098,52.509433962264154,中立,やや強,1.6114773863508098
母母父ブロック,プラス,B,函館×1700×ダ,極極極,1500,0.08733333333333333,0.07955014370734285,1.0978400448228487,1.1869458679976153,0.256,0.24089261551789723,1.0627141867741494,1.6043280488988443,93.00666666666666,中立,やや強,1.6043280488988443
母母父ブロック,プラス,B,京都×1200×ダ,極極極,1710,0.07134502923976609,0.06793172428664424,1.0502461109145276,0.6078983558695729,0.21403508771929824,0.2011844946280991,1.0638746694418684,1.6003541599449074,87.38596491228064,中立,やや強,1.6003541599449074
