検証軸,ブロック,方向,信頼度,条件,3枝パターン,出走数,勝率,市場期待勝率,勝A_E,勝z,複勝率,市場期待複勝率,複勝A_E,複勝z,単勝回収率,勝期待判定,複勝期待判定,総合強度
競馬場×芝ダ×馬場状態,母母父ブロック,プラス,A,東京×芝×良,極極地,1485,0.07138047138047138,0.06457359895868496,1.1054126226748109,1.1529210899091455,0.22962962962962963,0.2047852139690506,1.1213193822886733,2.892049913505259,73.89898989898988,中立,強,2.892049913505259
競馬場×芝ダ×馬場状態,母母父ブロック,プラス,C,東京×ダ×良,地極地,449,0.08685968819599109,0.0770343447389081,1.127544973484021,0.8539009918431065,0.26057906458797325,0.22218935261828246,1.1727792601999416,2.4064784398032444,71.73719376391982,中立,強,2.4064784398032444
競馬場×芝ダ×馬場状態,母母父ブロック,プラス,C,京都×芝×稍重,地極極,435,0.10804597701149425,0.08087796036894383,1.3359137213477827,2.2261799540325087,0.2689655172413793,0.2507395735087738,1.0726887402636813,1.0550819787004246,154.25287356321837,強,中立,2.2261799540325087
競馬場×芝ダ×馬場状態,母母父ブロック,プラス,B,中京×芝×良,バ極極,737,0.09905020352781546,0.08014058166892961,1.235955635273572,2.0404340850930223,0.24559023066485752,0.23902160433686015,1.0274813080023513,0.5041718974553029,87.32700135685211,強,中立,2.0404340850930223
競馬場×芝ダ×馬場状態,母母父ブロック,プラス,C,函館×ダ×重,極極極,315,0.10793650793650794,0.08068004976739147,1.3378339285573015,1.922688607859522,0.2634920634920635,0.24435136455589193,1.07833268691157,0.9551014675998803,90.03174603174601,やや強,中立,1.922688607859522
競馬場×芝ダ×馬場状態,母母父ブロック,プラス,C,中京×ダ×不良,地極極,321,0.08722741433021806,0.07550037114863152,1.1553243116977592,0.8628350633576474,0.2554517133956386,0.22072299440221685,1.157340738727641,1.8148575443829245,75.14018691588785,中立,やや強,1.8148575443829245
競馬場×芝ダ×馬場状態,母母父ブロック,プラス,B,阪神×ダ×重,地極極,577,0.08492201039861352,0.0741586572613758,1.1451395364306796,1.051438811946607,0.2564991334488735,0.2299408553672187,1.1155004752819626,1.7933970306683205,149.32409012131717,中立,やや強,1.7933970306683205
競馬場×芝ダ×馬場状態,母母父ブロック,プラス,B,阪神×芝×稍重,地極極,715,0.0965034965034965,0.07990748251415646,1.2076903622436095,1.77258107699919,0.24195804195804196,0.23871379891325267,1.0135905132403686,0.24830782122429956,100.58741258741257,やや強,中立,1.77258107699919
競馬場×芝ダ×馬場状態,母母父ブロック,プラス,C,阪神×ダ×良,地極地,365,0.09315068493150686,0.07166121194981231,1.299875935628114,1.7466007931781238,0.2136986301369863,0.2088786844604019,1.0230753352791158,0.2781142113835593,63.42465753424658,やや強,中立,1.7466007931781238
競馬場×芝ダ×馬場状態,母母父ブロック,プラス,C,中京×ダ×良,地地極,340,0.10882352941176471,0.08464700487306642,1.2856158298211795,1.7340932191315799,0.26176470588235295,0.25083378259542694,1.0435783536564396,0.5606165378797793,94.0,やや強,中立,1.7340932191315799
競馬場×芝ダ×馬場状態,母母父ブロック,プラス,C,東京×ダ×良,地バ極,475,0.08421052631578947,0.07334001213116255,1.1482207851995703,0.9881526894013646,0.24,0.2139601062688268,1.1217044344633844,1.6748326289434345,90.50526315789475,中立,やや強,1.6748326289434345
競馬場×芝ダ×馬場状態,母母父ブロック,プラス,C,小倉×ダ×良,極極地,367,0.09264305177111716,0.07187010026695097,1.289034681000974,1.6287905636537192,0.24250681198910082,0.21827663052100468,1.111006759680416,1.3037151472368562,96.23978201634881,やや強,中立,1.6287905636537192
競馬場×芝ダ×馬場状態,母母父ブロック,プラス,B,京都×ダ×稍重,極極極,1519,0.07702435813034891,0.06769697935279878,1.1377813141254214,1.5646132311202792,0.2139565503620803,0.20599235822958709,1.0386625610820805,0.9256213434662287,87.61026991441733,やや強,中立,1.5646132311202792
競馬場×芝ダ×馬場状態,母母父ブロック,プラス,B,福島×芝×良,極極地,793,0.07818411097099622,0.07061473277340304,1.1071926197311077,0.8855967945370374,0.23455233291298866,0.2153753471364027,1.0890398368780838,1.5542698444132246,85.40983606557374,中立,やや強,1.5542698444132246
競馬場×芝ダ×馬場状態,母母父ブロック,マイナス,B,中山×芝×稍重,地極極,672,0.05505952380952381,0.07827973203265354,0.7033688335386269,-2.4157843680324556,0.18154761904761904,0.23164322906923507,0.7837380776338465,-3.6979244325971647,43.363095238095234,弱,弱,3.6979244325971647
競馬場×芝ダ×馬場状態,母母父ブロック,マイナス,C,東京×芝×良,極極バ,341,0.08797653958944282,0.09421536571428653,0.9337812247763989,-0.4389700806275167,0.21994134897360704,0.2645900101028886,0.8312534131129159,-2.4024766163373354,113.07917888563048,中立,弱,2.4024766163373354
競馬場×芝ダ×馬場状態,母母父ブロック,マイナス,B,福島×芝×良,地極極,2176,0.07123161764705882,0.07126756258529583,0.9994956339611869,-0.0069616852996071685,0.19715073529411764,0.2129918215579773,0.9256258472837764,-2.1267569608372425,76.36488970588236,中立,やや弱,2.1267569608372425
競馬場×芝ダ×馬場状態,母母父ブロック,マイナス,C,中山×ダ×良,地地極,403,0.05955334987593052,0.07428421193219475,0.8016959233583808,-1.2293982298880712,0.18362282878411912,0.21943906788951936,0.8367827595611526,-2.097082249532891,34.44168734491315,中立,弱,2.097082249532891
競馬場×芝ダ×馬場状態,母母父ブロック,マイナス,B,京都×ダ×稍重,地極極,657,0.0669710806697108,0.07717150395357596,0.8678213749727954,-1.0668641489667667,0.2009132420091324,0.2282368980798966,0.8802837915313795,-2.0398784558623513,54.32267884322679,中立,弱,2.0398784558623513
競馬場×芝ダ×馬場状態,母母父ブロック,マイナス,C,小倉×芝×良,極地極,300,0.04666666666666667,0.060523914808675854,0.7710450788615741,-1.0612019133570585,0.15333333333333332,0.19272938688965557,0.7955887568984076,-1.9925489252739752,67.10000000000001,中立,やや弱,1.9925489252739752
