血統登録番号,馬名,父正規名,母父正規名,母母父正規名,枝1_父ブロック_父父,枝2_父ブロック_母父,枝3_父ブロック_母母父,枝4_母父ブロック_父父,枝5_母父ブロック_母父,枝6_母父ブロック_母母父,枝7_母母父ブロック_父父,枝8_母母父ブロック_母父,枝9_母母父ブロック_母母父,現代馬9枝シグネチャ
2020102809,デルマオシダシ,ジャスタウェイ,Manduro,Platini,地,地,バ,極,地,地,極,極,極,地・地・バ｜極・地・地｜極・極・極
2020106934,エナジーポコアポコ,ビーチパトロール,サクラバクシンオー,サンデーサイレンス,地,極,極,地,極,極,極,極,極,地・極・極｜地・極・極｜極・極・極
2020104987,サンライズサラー,エピファネイア,ディープインパクト,High Yield,極,地,バ,極,極,地,地,極,極,極・地・バ｜極・極・地｜地・極・極
2020104817,ラディーヴァ,レッドファルクス,シンボリクリスエス,マンハッタンカフェ,地,極,極,極,極,バ,極,極,地,地・極・極｜極・極・バ｜極・極・地
2020101837,ファームフレッシュ,キズナ,タニノギムレット,Kingmambo,地,バ,極,極,地,極,極,極,地,地・バ・極｜極・地・極｜極・極・地
2018101216,クリノパイソン,スマートファルコン,ゴールドヘイロー,Caerleon,地,地,極,極,極,地,地,極,極,地・地・極｜極・極・地｜地・極・極
2019106936,キングスウェイ,キングカメハメハ,Sightseeing,Dehere,極,地,地,バ,極,極,バ,極,極,極・地・地｜バ・極・極｜バ・極・極
2019101793,クイーンドライヴ,イスラボニータ,メイショウオウドウ,ミルジヨージ,地,極,極,極,極,地,極,極,極,地・極・極｜極・極・地｜極・極・極
2020106388,ディアナゼロス,ダンカーク,ハービンジャー,サンデーサイレンス,極,極,地,地,地,地,極,極,極,極・極・地｜地・地・地｜極・極・極
2020103869,ミスファイト,イスラボニータ,Medicean,Green Desert,地,極,極,極,極,極,地,バ,極,地・極・極｜極・極・極｜地・バ・極
2020104598,ショウナンアウリイ,ショウナンカンプ,クロフネ,End Sweep,地,地,極,地,極,極,極,極,極,地・地・極｜地・極・極｜極・極・極
2020100613,ミオファースト,アジアエクスプレス,ネオユニヴァース,Theatrical,地,極,極,極,極,地,地,地,極,地・極・極｜極・極・地｜地・地・極
2020104475,ジャズピアニスト,レッドファルクス,シンボリクリスエス,Septieme Ciel,地,極,極,極,極,バ,極,極,極,地・極・極｜極・極・バ｜極・極・極
2020105888,イナホ,リアルインパクト,フォーティナイナー,Be My Guest,地,バ,極,極,極,極,地,極,極,地・バ・極｜極・極・極｜地・極・極
2020103712,ダンザンレーヴ,リオンディーズ,ゼンノロブロイ,Highest Honor,地,地,地,極,極,地,極,極,極,地・地・地｜極・極・地｜極・極・極
2020104418,サンアルフィー,アポロキングダム,ロックオブジブラルタル,サンデーサイレンス,地,極,極,地,地,極,極,極,極,地・極・極｜地・地・極｜極・極・極
2020105076,シミーシェイク,カレンブラックヒル,ファンタスティックライト,ソヴィエトスター,地,地,極,極,極,極,地,地,極,地・地・極｜極・極・極｜地・地・極
2020103643,エレガントムーン,カレンブラックヒル,エリシオ,Storm Bird,地,地,極,地,極,極,地,極,極,地・地・極｜地・極・極｜地・極・極
2020105540,アルムエアフォルク,シャンハイボビー,ワイルドラッシュ,フジキセキ,地,極,極,バ,地,極,極,極,極,地・極・極｜バ・地・極｜極・極・極
2020102901,ヴィナクローナ,サトノクラウン,キングカメハメハ,アグネスタキオン,地,バ,地,極,地,地,極,極,地,地・バ・地｜極・地・地｜極・極・地
2020105361,エリンアキレウス,ストロングリターン,ネオユニヴァース,Bluebird,極,地,バ,極,極,地,地,極,極,極・地・バ｜極・極・地｜地・極・極
