場所,レース番号,クラスコード,クラス名,グレードコード,芝ダ,ネタ,距離,コース区分,馬場状態,レースID(新),馬番,枠番,馬名,性別,年齢,斤量,確定着順,単勝オッズ,調教師,調教師コード,所属,父馬名,クッション値,クッション値判定,コースID
札幌,1,7,未勝利,,芝,0,1200,A,良,2.02106E+17,1,1,ミエノベルル,牡,3,56,15,10.4,高橋亮,CX01136,栗,エピファネイア,7.9,8未満,札幌芝1200
札幌,1,7,未勝利,,芝,0,1200,A,良,2.02106E+17,2,1,セリシア,牝,3,54,6,3.7,中竹和也,CX01039,栗,エイシンヒカリ,7.9,8未満,札幌芝1200
札幌,1,7,未勝利,,芝,0,1200,A,良,2.02106E+17,3,2,リトルロータス,牝,3,52,10,275.3,松永康利,CX01093,美,ブラックタイド,7.9,8未満,札幌芝1200
札幌,1,7,未勝利,,芝,0,1200,A,良,2.02106E+17,4,2,マイネルニゲラ,牡,3,56,12,57.7,小笠倫弘,CX01076,美,ジョーカプチーノ,7.9,8未満,札幌芝1200
札幌,1,7,未勝利,,芝,0,1200,A,良,2.02106E+17,5,3,ペイシャケイティー,牝,3,54,5,7.5,土田稔,CX00417,美,カレンブラックヒル,7.9,8未満,札幌芝1200
札幌,1,7,未勝利,,芝,0,1200,A,良,2.02106E+17,6,3,バンベルク,牡,3,56,2,3.9,安田隆行,CX00438,栗,エピファネイア,7.9,8未満,札幌芝1200
札幌,1,7,未勝利,,芝,0,1200,A,良,2.02106E+17,7,4,デクラーク,牡,3,56,7,6.1,矢野英一,CX01108,美,トーセンラー,7.9,8未満,札幌芝1200
札幌,1,7,未勝利,,芝,0,1200,A,良,2.02106E+17,8,4,ニースバローズ,牝,3,51,11,142.9,斎藤誠,CX01086,美,オルフェーヴル,7.9,8未満,札幌芝1200
札幌,1,7,未勝利,,芝,0,1200,A,良,2.02106E+17,9,5,ディーバサンライズ,牝,3,52,1,13.5,小林真也,CX01185,栗,ダイワメジャー,7.9,8未満,札幌芝1200
札幌,1,7,未勝利,,芝,0,1200,A,良,2.02106E+17,10,5,クレマチステソーロ,牝,3,54,4,7.6,高木登,CX01088,美,Kingman,7.9,8未満,札幌芝1200
札幌,1,7,未勝利,,芝,0,1200,A,良,2.02106E+17,11,6,プレジャジンク,牝,3,54,8,25,吉田直弘,CX01101,栗,エピファネイア,7.9,8未満,札幌芝1200
札幌,1,7,未勝利,,芝,0,1200,A,良,2.02106E+17,12,6,ワンダードゥヴァン,牝,3,54,14,95.4,羽月友彦,CX01091,栗,ネオユニヴァース,7.9,8未満,札幌芝1200
札幌,1,7,未勝利,,芝,0,1200,A,良,2.02106E+17,13,7,メルティング,牝,3,54,9,56.6,池添兼雄,CX01021,栗,キンシャサノキセキ,7.9,8未満,札幌芝1200
札幌,1,7,未勝利,,芝,0,1200,A,良,2.02106E+17,14,7,リツィタル,牝,3,54,3,124.7,牧田和弥,CX01123,栗,ミッキーアイル,7.9,8未満,札幌芝1200
札幌,1,7,未勝利,,芝,0,1200,A,良,2.02106E+17,15,8,ルーチェビアンカ,牝,3,54,13,56.9,今野貞一,CX01128,栗,ディープブリランテ,7.9,8未満,札幌芝1200
札幌,1,7,未勝利,,芝,0,1200,A,良,2.02106E+17,16,8,キッズリッカリッカ,牝,3,54,16,69.9,牧光二,CX01106,美,ドゥラメンテ,7.9,8未満,札幌芝1200
札幌,4,7,未勝利,,芝,0,2000,A,良,2.02106E+17,1,1,エーティーツヨシ,牡,3,56,4,15.3,四位洋文,CX01184,栗,ラブリーデイ,7.9,8未満,札幌芝2000
札幌,4,7,未勝利,,芝,0,2000,A,良,2.02106E+17,2,2,ロイヤルアッシュ,牡,3,56,11,83.4,池上昌和,CX01150,美,エピファネイア,7.9,8未満,札幌芝2000
札幌,4,7,未勝利,,芝,0,2000,A,良,2.02106E+17,3,2,シルキーヴォイス,牡,3,54,1,35.8,池江泰寿,CX01071,栗,キングカメハメハ,7.9,8未満,札幌芝2000
札幌,4,7,未勝利,,芝,0,2000,A,良,2.02106E+17,4,3,バケル,牡,3,55,14,18.9,平田修,CX01082,栗,フェノーメノ,7.9,8未満,札幌芝2000
札幌,4,7,未勝利,,芝,0,2000,A,良,2.02106E+17,5,3,ノアスマッシュ,牝,3,54,3,4.4,堀井雅広,CX00436,美,キズナ,7.9,8未満,札幌芝2000
札幌,4,7,未勝利,,芝,0,2000,A,良,2.02106E+17,6,4,ミステリーツアー,牡,3,56,6,108.5,梅田智之,CX01084,栗,ルーラーシップ,7.9,8未満,札幌芝2000
札幌,4,7,未勝利,,芝,0,2000,A,良,2.02106E+17,7,4,デルマケゴン,牝,3,54,5,49.7,武市康男,CX01089,美,ストロングリターン,7.9,8未満,札幌芝2000
札幌,4,7,未勝利,,芝,0,2000,A,良,2.02106E+17,8,5,プリエール,牝,3,54,9,264.2,吉田直弘,CX01101,栗,モーリス,7.9,8未満,札幌芝2000
札幌,4,7,未勝利,,芝,0,2000,A,良,2.02106E+17,9,5,インフォーマント,牡,3,56,12,12.3,加藤征弘,CX01059,美,ノヴェリスト,7.9,8未満,札幌芝2000
札幌,4,7,未勝利,,芝,0,2000,A,良,2.02106E+17,10,6,ジャストフィット,牡,3,56,10,24.3,藤沢和雄,CX00386,美,Australia,7.9,8未満,札幌芝2000
札幌,4,7,未勝利,,芝,0,2000,A,良,2.02106E+17,11,6,ルミナスゲート,牡,3,56,7,3.9,木村哲也,CX01126,美,Holy Roman Emperor,7.9,8未満,札幌芝2000
札幌,4,7,未勝利,,芝,0,2000,A,良,2.02106E+17,12,7,ヤマノグリッターズ,牡,3,56,8,14.9,田中清隆,CX00408,美,エイシンフラッシュ,7.9,8未満,札幌芝2000
札幌,4,7,未勝利,,芝,0,2000,A,良,2.02106E+17,13,7,ホウオウリアリティ,牡,3,56,2,4.8,高木登,CX01088,美,モーリス,7.9,8未満,札幌芝2000
札幌,4,7,未勝利,,芝,0,2000,A,良,2.02106E+17,14,8,セルヴォ,牡,3,56,15,36.9,大根田裕,CX01032,栗,フレンチデピュティ,7.9,8未満,札幌芝2000
札幌,4,7,未勝利,,芝,0,2000,A,良,2.02106E+17,15,8,マテンロウスタイル,牡,3,56,13,6.1,昆貢,CX01044,栗,ハーツクライ,7.9,8未満,札幌芝2000
札幌,5,15,新馬,,芝,0,1000,A,良,2.02106E+17,1,1,スマイルアップ,牝,2,54,5,42.8,萱野浩二,CX01024,美,イスラボニータ,7.9,8未満,札幌芝1000
札幌,5,15,新馬,,芝,0,1000,A,良,2.02106E+17,2,2,リトス,牝,2,53,2,10.7,高橋裕,CX00412,美,シルバーステート,7.9,8未満,札幌芝1000
札幌,5,15,新馬,,芝,0,1000,A,良,2.02106E+17,3,3,オーシンプラス,牡,2,54,9,63.7,宮徹,CX01018,栗,ストロングリターン,7.9,8未満,札幌芝1000
札幌,5,15,新馬,,芝,0,1000,A,良,2.02106E+17,4,4,プラソン,牝,2,54,6,16.5,寺島良,CX01158,栗,イスラボニータ,7.9,8未満,札幌芝1000
札幌,5,15,新馬,,芝,0,1000,A,良,2.02106E+17,5,4,ダイチスマイル,牡,2,52,11,88.1,蛯名利弘,CX01131,美,メイショウボーラー,7.9,8未満,札幌芝1000
札幌,5,15,新馬,,芝,0,1000,A,良,2.02106E+17,6,5,コラリン,牝,2,54,4,2.2,木村哲也,CX01126,美,ダイワメジャー,7.9,8未満,札幌芝1000
札幌,5,15,新馬,,芝,0,1000,A,良,2.02106E+17,7,5,ミンナノユメミノル,牡,2,54,10,65.8,天間昭一,CX01090,美,ノボジャック,7.9,8未満,札幌芝1000
札幌,5,15,新馬,,芝,0,1000,A,良,2.02106E+17,9,6,ミスリチャード,牝,2,52,12,36.1,村山明,CX01107,栗,コパノリチャード,7.9,8未満,札幌芝1000
札幌,5,15,新馬,,芝,0,1000,A,良,2.02106E+17,10,7,ナバロン,牡,2,54,7,28.6,杉山佳明,CX01178,栗,ブラックタイド,7.9,8未満,札幌芝1000
札幌,5,15,新馬,,芝,0,1000,A,良,2.02106E+17,11,7,カイカノキセキ,牝,2,54,1,6.3,池添学,CX01144,栗,キンシャサノキセキ,7.9,8未満,札幌芝1000
札幌,5,15,新馬,,芝,0,1000,A,良,2.02106E+17,12,8,リブラソナチネ,牝,2,54,8,104.6,松永康利,CX01093,美,シルバーステート,7.9,8未満,札幌芝1000
札幌,5,15,新馬,,芝,0,1000,A,良,2.02106E+17,13,8,ブッシュガーデン,牝,2,54,3,3.4,武井亮,CX01147,美,リオンディーズ,7.9,8未満,札幌芝1000
札幌,8,23,1勝,,芝,0,2000,A,良,2.02106E+17,1,1,ノーブルキャニオン,牡,3,51,10,35,牧浦充徳,CX01113,栗,ブラックタイド,7.9,8未満,札幌芝2000
札幌,8,23,1勝,,芝,0,2000,A,良,2.02106E+17,2,2,ヒナノコバン,牡,4,55,9,15.2,本間忍,CX01056,美,バゴ,7.9,8未満,札幌芝2000
札幌,8,23,1勝,,芝,0,2000,A,良,2.02106E+17,3,3,アキノコマチ,牝,5,55,2,4.8,田中剛,CX01119,美,ハービンジャー,7.9,8未満,札幌芝2000
札幌,8,23,1勝,,芝,0,2000,A,良,2.02106E+17,4,4,パイネ,牝,4,55,3,4,国枝栄,CX00399,美,ディープインパクト,7.9,8未満,札幌芝2000
札幌,8,23,1勝,,芝,0,2000,A,良,2.02106E+17,5,5,ヤップヤップヤップ,牡,5,57,5,13.3,宗像義忠,CX00420,美,キングカメハメハ,7.9,8未満,札幌芝2000
札幌,8,23,1勝,,芝,0,2000,A,良,2.02106E+17,6,6,アルマイナンナ,牝,4,55,6,30.6,高橋文雅,CX01134,美,ダンカーク,7.9,8未満,札幌芝2000
札幌,8,23,1勝,,芝,0,2000,A,良,2.02106E+17,7,7,ディープリッチ,牡,3,52,8,4.4,小島茂之,CX01068,美,ディープブリランテ,7.9,8未満,札幌芝2000
札幌,8,23,1勝,,芝,0,2000,A,良,2.02106E+17,8,7,ユークレース,牝,4,55,7,10.3,菊沢隆徳,CX01115,美,タートルボウル,7.9,8未満,札幌芝2000
札幌,8,23,1勝,,芝,0,2000,A,良,2.02106E+17,9,8,クロスザルビコン,牡,4,57,4,8.5,大和田成,CX01124,美,フェノーメノ,7.9,8未満,札幌芝2000
札幌,8,23,1勝,,芝,0,2000,A,良,2.02106E+17,10,8,ヒューマンコメディ,牝,4,55,1,6.4,水野貴広,CX01094,美,ハーツクライ,7.9,8未満,札幌芝2000
札幌,10,23,1勝,E,芝,0,2600,A,良,2.02106E+17,1,1,テーオーラファエロ,牡,3,53,4,4.2,須貝尚介,CX01105,栗,ゴールドシップ,7.9,8未満,札幌芝2600
札幌,10,23,1勝,E,芝,0,2600,A,良,2.02106E+17,2,2,ナックイルシーブ,牡,3,53,1,2.9,杉浦宏昭,CX01008,美,ハーツクライ,7.9,8未満,札幌芝2600
札幌,10,23,1勝,E,芝,0,2600,A,良,2.02106E+17,3,3,スマイルガール,牝,4,55,8,7.5,宮徹,CX01018,栗,キズナ,7.9,8未満,札幌芝2600
札幌,10,23,1勝,E,芝,0,2600,A,良,2.02106E+17,4,4,トゥプエデス,牡,5,57,6,94.2,高橋康之,CX01135,栗,ローズキングダム,7.9,8未満,札幌芝2600
札幌,10,23,1勝,E,芝,0,2600,A,良,2.02106E+17,5,5,サングレデクリスト,牡,4,57,2,23.7,清水久詞,CX01110,栗,ヴィクトワールピサ,7.9,8未満,札幌芝2600
札幌,10,23,1勝,E,芝,0,2600,A,良,2.02106E+17,6,6,ピエナアラシ,牡,7,57,5,14.7,谷潔,CX00431,栗,ハービンジャー,7.9,8未満,札幌芝2600
札幌,10,23,1勝,E,芝,0,2600,A,良,2.02106E+17,7,7,ダノンセレスタ,牡,4,57,3,2.5,音無秀孝,CX01002,栗,ハーツクライ,7.9,8未満,札幌芝2600
札幌,10,23,1勝,E,芝,0,2600,A,良,2.02106E+17,8,8,インペリアルツアー,牡,3,53,7,29.1,加藤和宏,CX01077,美,トゥザグローリー,7.9,8未満,札幌芝2600
札幌,11,43,2勝,E,芝,0,1200,A,良,2.02106E+17,1,1,ブラックダンサー,牝,5,55,1,9.2,高野友和,CX01117,栗,ブラックタイド,7.9,8未満,札幌芝1200
札幌,11,43,2勝,E,芝,0,1200,A,良,2.02106E+17,2,1,エムオーシャトル,牝,3,52,16,5.9,鹿戸雄一,CX01097,美,マクフィ,7.9,8未満,札幌芝1200
札幌,11,43,2勝,E,芝,0,1200,A,良,2.02106E+17,3,2,ゼンノアンジュ,牝,3,52,10,9.4,浅見秀一,CX00411,栗,ヘニーヒューズ,7.9,8未満,札幌芝1200
札幌,11,43,2勝,E,芝,0,1200,A,良,2.02106E+17,4,2,オーロラフラッシュ,牝,4,55,3,23.1,藤沢和雄,CX00386,美,Frankel,7.9,8未満,札幌芝1200
札幌,11,43,2勝,E,芝,0,1200,A,良,2.02106E+17,5,3,オシリスブレイン,牡,4,57,8,5.6,田村康仁,CX01027,美,バゴ,7.9,8未満,札幌芝1200
札幌,11,43,2勝,E,芝,0,1200,A,良,2.02106E+17,6,3,マリノディアナ,牝,6,55,6,219.9,水野貴広,CX01094,美,カルストンライトオ,7.9,8未満,札幌芝1200
札幌,11,43,2勝,E,芝,0,1200,A,良,2.02106E+17,7,4,テーオーマルクス,牡,4,57,15,23.1,宮徹,CX01018,栗,ロードカナロア,7.9,8未満,札幌芝1200
札幌,11,43,2勝,E,芝,0,1200,A,良,2.02106E+17,8,4,ヴォイスオブジョイ,牝,5,55,5,49.5,水野貴広,CX01094,美,Magician,7.9,8未満,札幌芝1200
札幌,11,43,2勝,E,芝,0,1200,A,良,2.02106E+17,9,5,ポンペイワーム,牡,5,57,14,14.4,畑端省吾,CX01188,栗,Itsmyluckyday,7.9,8未満,札幌芝1200
札幌,11,43,2勝,E,芝,0,1200,A,良,2.02106E+17,10,5,キーダイヤ,牝,4,55,13,8.4,藤岡健一,CX01062,栗,War Command,7.9,8未満,札幌芝1200
札幌,11,43,2勝,E,芝,0,1200,A,良,2.02106E+17,11,6,インザムービー,牝,4,55,2,8.4,牧田和弥,CX01123,栗,リアルインパクト,7.9,8未満,札幌芝1200
札幌,11,43,2勝,E,芝,0,1200,A,良,2.02106E+17,12,6,ロフティーピーク,牝,4,55,11,6.3,武幸四郎,CX01160,栗,ヘニーヒューズ,7.9,8未満,札幌芝1200
札幌,11,43,2勝,E,芝,0,1200,A,良,2.02106E+17,13,7,コスモアンジュ,牝,4,55,7,18.1,武藤善則,CX01064,美,トゥザワールド,7.9,8未満,札幌芝1200
札幌,11,43,2勝,E,芝,0,1200,A,良,2.02106E+17,14,7,ニシノストーム,牡,4,57,4,63.9,杉浦宏昭,CX01008,美,リーチザクラウン,7.9,8未満,札幌芝1200
札幌,11,43,2勝,E,芝,0,1200,A,良,2.02106E+17,15,8,エイカイマドンナ,牝,6,55,12,35.9,藤原英昭,CX01055,栗,ハーツクライ,7.9,8未満,札幌芝1200
札幌,11,43,2勝,E,芝,0,1200,A,良,2.02106E+17,16,8,トゥールドマジ,牝,4,55,9,54.6,鈴木慎太,CX01179,美,スクリーンヒーロー,7.9,8未満,札幌芝1200
札幌,12,43,2勝,E,芝,0,1800,A,良,2.02106E+17,1,1,マイエンフェルト,牝,5,50,1,35,杉山佳明,CX01178,栗,ハービンジャー,7.9,8未満,札幌芝1800
札幌,12,43,2勝,E,芝,0,1800,A,良,2.02106E+17,2,2,ココニアル,牝,4,52,5,3.4,和田勇介,CX01165,美,タートルボウル,7.9,8未満,札幌芝1800
札幌,12,43,2勝,E,芝,0,1800,A,良,2.02106E+17,3,3,ブラックデビル,セ,6,54,4,15,中野栄治,CX01010,美,マンハッタンカフェ,7.9,8未満,札幌芝1800
札幌,12,43,2勝,E,芝,0,1800,A,良,2.02106E+17,4,4,ピースマインド,牡,8,54,3,29.8,宮徹,CX01018,栗,ディープインパクト,7.9,8未満,札幌芝1800
札幌,12,43,2勝,E,芝,0,1800,A,良,2.02106E+17,5,5,カサーレ,牝,6,53,7,6.4,吉岡辰弥,CX01176,栗,マンハッタンカフェ,7.9,8未満,札幌芝1800
札幌,12,43,2勝,E,芝,0,1800,A,良,2.02106E+17,6,6,プライムフェイズ,牡,4,54,2,6.3,藤原英昭,CX01055,栗,ディープインパクト,7.9,8未満,札幌芝1800
札幌,12,43,2勝,E,芝,0,1800,A,良,2.02106E+17,7,6,ルックスマート,牡,6,55,11,5.2,小島茂之,CX01068,美,ヴィクトワールピサ,7.9,8未満,札幌芝1800
札幌,12,43,2勝,E,芝,0,1800,A,良,2.02106E+17,8,7,ダノングレーター,牡,5,55,8,12.8,茶木太樹,CX01181,栗,ハーツクライ,7.9,8未満,札幌芝1800
札幌,12,43,2勝,E,芝,0,1800,A,良,2.02106E+17,9,7,ダイワギャバン,牡,6,53,6,48.2,菊沢隆徳,CX01115,美,ディープインパクト,7.9,8未満,札幌芝1800
札幌,12,43,2勝,E,芝,0,1800,A,良,2.02106E+17,10,8,ダンツイノーバ,牝,4,53,9,11.9,谷潔,CX00431,栗,メイショウボーラー,7.9,8未満,札幌芝1800
札幌,12,43,2勝,E,芝,0,1800,A,良,2.02106E+17,11,8,ブルーエクセレンス,牡,5,55,10,6.9,金成貴史,CX01132,美,ディープインパクト,7.9,8未満,札幌芝1800
札幌,1,7,未勝利,,芝,0,1500,A,良,2.02106E+17,1,1,ナスノマイスター,セ,3,56,9,126.5,矢野英一,CX01108,美,ドゥラメンテ,7.7,8未満,札幌芝1500
札幌,1,7,未勝利,,芝,0,1500,A,良,2.02106E+17,2,2,ヴァトレニ,セ,3,56,1,2.9,長谷川浩,CX01173,栗,グラスワンダー,7.7,8未満,札幌芝1500
札幌,1,7,未勝利,,芝,0,1500,A,良,2.02106E+17,3,3,パブリックドメイン,牡,3,56,14,15,池上昌和,CX01150,美,エイシンフラッシュ,7.7,8未満,札幌芝1500
札幌,1,7,未勝利,,芝,0,1500,A,良,2.02106E+17,4,3,ラトゥールレディー,牝,3,51,12,13.5,西村真幸,CX01148,栗,キンシャサノキセキ,7.7,8未満,札幌芝1500
札幌,1,7,未勝利,,芝,0,1500,A,良,2.02106E+17,5,4,トリプルフォー,牝,3,54,5,81.5,矢作芳人,CX01075,栗,ロードカナロア,7.7,8未満,札幌芝1500
札幌,1,7,未勝利,,芝,0,1500,A,良,2.02106E+17,6,4,ナイトエクスプレス,牡,3,56,7,31.5,牧光二,CX01106,美,エピファネイア,7.7,8未満,札幌芝1500
札幌,1,7,未勝利,,芝,0,1500,A,良,2.02106E+17,7,5,ブラックハート,牝,3,54,3,11.4,松永康利,CX01093,美,ベーカバド,7.7,8未満,札幌芝1500
札幌,1,7,未勝利,,芝,0,1500,A,良,2.02106E+17,8,5,アラハバキ,牡,3,56,10,49.2,田中克典,CX01180,栗,ドリームジャーニー,7.7,8未満,札幌芝1500
札幌,1,7,未勝利,,芝,0,1500,A,良,2.02106E+17,9,6,ジュリエットパール,牝,3,54,6,6.1,伊藤大士,CX01109,美,ルーラーシップ,7.7,8未満,札幌芝1500
札幌,1,7,未勝利,,芝,0,1500,A,良,2.02106E+17,10,6,フレーズバニーユ,牝,3,52,4,20.6,和田正一,CX01114,美,ストロングリターン,7.7,8未満,札幌芝1500
札幌,1,7,未勝利,,芝,0,1500,A,良,2.02106E+17,11,7,シーロンシャン,牝,3,54,2,5,藤岡健一,CX01062,栗,ロードカナロア,7.7,8未満,札幌芝1500
札幌,1,7,未勝利,,芝,0,1500,A,良,2.02106E+17,12,7,アンフィニ,牝,3,54,8,27.6,武英智,CX01161,栗,ジャスタウェイ,7.7,8未満,札幌芝1500
札幌,1,7,未勝利,,芝,0,1500,A,良,2.02106E+17,13,8,アレレブルー,牡,3,56,11,15.7,杉山晴紀,CX01157,栗,モーリス,7.7,8未満,札幌芝1500
札幌,1,7,未勝利,,芝,0,1500,A,良,2.02106E+17,14,8,シェーンシュタット,牡,3,56,13,10,加藤士津,CX01169,美,トーセンラー,7.7,8未満,札幌芝1500
札幌,4,7,未勝利,,芝,0,2000,A,良,2.02106E+17,1,1,ブライドピーク,牝,3,51,11,54.6,池江泰寿,CX01071,栗,キングカメハメハ,7.7,8未満,札幌芝2000
札幌,4,7,未勝利,,芝,0,2000,A,良,2.02106E+17,2,2,ドリームアゲイン,牝,3,54,4,7,田中克典,CX01180,栗,キズナ,7.7,8未満,札幌芝2000
札幌,4,7,未勝利,,芝,0,2000,A,良,2.02106E+17,3,3,メイショウイナホ,牝,3,54,8,9.4,岡田稲男,CX01066,栗,モーリス,7.7,8未満,札幌芝2000
札幌,4,7,未勝利,,芝,0,2000,A,良,2.02106E+17,4,4,アースフレア,牝,3,52,5,6.2,本田優,CX01099,栗,Frankel,7.7,8未満,札幌芝2000
札幌,4,7,未勝利,,芝,0,2000,A,良,2.02106E+17,5,5,ハデコ,牝,3,50,12,182.5,新谷功一,CX01172,栗,オルフェーヴル,7.7,8未満,札幌芝2000
札幌,4,7,未勝利,,芝,0,2000,A,良,2.02106E+17,6,5,ステイブルアスク,牝,3,54,2,23.8,矢作芳人,CX01075,栗,オルフェーヴル,7.7,8未満,札幌芝2000
札幌,4,7,未勝利,,芝,0,2000,A,良,2.02106E+17,7,6,ロゼット,牝,3,53,3,5.5,高橋義忠,CX01129,栗,ルーラーシップ,7.7,8未満,札幌芝2000
札幌,4,7,未勝利,,芝,0,2000,A,良,2.02106E+17,8,6,マスカリンラン,牝,3,54,7,137.8,尾形和幸,CX01141,美,トゥザワールド,7.7,8未満,札幌芝2000
札幌,4,7,未勝利,,芝,0,2000,A,良,2.02106E+17,9,7,テイケイラウレア,牝,3,54,10,4.2,荒川義之,CX01095,栗,スピルバーグ,7.7,8未満,札幌芝2000
札幌,4,7,未勝利,,芝,0,2000,A,良,2.02106E+17,10,7,デルマキッショウ,牝,3,54,6,4.3,友道康夫,CX01061,栗,モーリス,7.7,8未満,札幌芝2000
札幌,4,7,未勝利,,芝,0,2000,A,良,2.02106E+17,11,8,グッドラベリング,牝,3,54,1,11.6,藤岡健一,CX01062,栗,エピファネイア,7.7,8未満,札幌芝2000
札幌,4,7,未勝利,,芝,0,2000,A,良,2.02106E+17,12,8,スカーレットテイル,牝,3,52,9,26.5,高柳瑞樹,CX01118,美,ハービンジャー,7.7,8未満,札幌芝2000
札幌,5,15,新馬,,芝,0,1200,A,良,2.02106E+17,1,1,グラスミヤラビ,牝,2,54,2,63,大江原哲,CX01012,美,サトノアラジン,7.7,8未満,札幌芝1200
札幌,5,15,新馬,,芝,0,1200,A,良,2.02106E+17,2,2,グットディール,牡,2,54,4,1.5,須貝尚介,CX01105,栗,ビッグアーサー,7.7,8未満,札幌芝1200
札幌,5,15,新馬,,芝,0,1200,A,良,2.02106E+17,3,3,フレッシュラムール,牝,2,54,8,18.9,斎藤誠,CX01086,美,ロードカナロア,7.7,8未満,札幌芝1200
札幌,5,15,新馬,,芝,0,1200,A,良,2.02106E+17,4,4,アスターヘキサゴン,牡,2,54,3,9.6,中竹和也,CX01039,栗,ヘニーヒューズ,7.7,8未満,札幌芝1200
札幌,5,15,新馬,,芝,0,1200,A,良,2.02106E+17,5,4,トーセンサンダー,牡,2,54,1,43.8,杉浦宏昭,CX01008,美,トーセンファントム,7.7,8未満,札幌芝1200
札幌,5,15,新馬,,芝,0,1200,A,良,2.02106E+17,6,5,フォーネリー,牝,2,54,6,72.3,高橋裕,CX00412,美,アドマイヤムーン,7.7,8未満,札幌芝1200
札幌,5,15,新馬,,芝,0,1200,A,良,2.02106E+17,7,5,トーセンビースト,牡,2,54,7,67.8,土田稔,CX00417,美,トーセンレーヴ,7.7,8未満,札幌芝1200
札幌,5,15,新馬,,芝,0,1200,A,良,2.02106E+17,8,6,スマイルバック,牝,2,54,9,12.1,松永幹夫,CX01092,栗,リオンディーズ,7.7,8未満,札幌芝1200
札幌,5,15,新馬,,芝,0,1200,A,良,2.02106E+17,9,6,シズオウ,牝,2,52,10,111.2,竹内正洋,CX01152,美,オルフェーヴル,7.7,8未満,札幌芝1200
札幌,5,15,新馬,,芝,0,1200,A,良,2.02106E+17,10,7,ギンノアメガフル,牡,2,51,13,22.5,相沢郁,CX01020,美,アドマイヤムーン,7.7,8未満,札幌芝1200
札幌,5,15,新馬,,芝,0,1200,A,良,2.02106E+17,11,7,ペルペテュエル,牡,2,54,5,87.3,武藤善則,CX01064,美,キンシャサノキセキ,7.7,8未満,札幌芝1200
札幌,5,15,新馬,,芝,0,1200,A,良,2.02106E+17,12,8,ハマーフェイス,牡,2,54,12,4.8,渡辺薫彦,CX01155,栗,モーリス,7.7,8未満,札幌芝1200
札幌,5,15,新馬,,芝,0,1200,A,良,2.02106E+17,13,8,ショットオブザデイ,牡,2,54,11,136.9,四位洋文,CX01184,栗,ディーマジェスティ,7.7,8未満,札幌芝1200
札幌,6,7,未勝利,,芝,0,1800,A,良,2.02106E+17,1,1,ハイエログリフ,牝,3,54,1,8.4,池添学,CX01144,栗,キズナ,7.7,8未満,札幌芝1800
札幌,6,7,未勝利,,芝,0,1800,A,良,2.02106E+17,2,2,ヴィクトールアイ,牝,3,54,11,18.8,奥平雅士,CX01074,美,ヴィクトワールピサ,7.7,8未満,札幌芝1800
札幌,6,7,未勝利,,芝,0,1800,A,良,2.02106E+17,3,3,フェイトリッパー,牡,3,56,4,4.1,新谷功一,CX01172,栗,アドマイヤムーン,7.7,8未満,札幌芝1800
札幌,6,7,未勝利,,芝,0,1800,A,良,2.02106E+17,4,4,ボタニスト,牡,3,53,13,158.1,国枝栄,CX00399,美,ラブリーデイ,7.7,8未満,札幌芝1800
札幌,6,7,未勝利,,芝,0,1800,A,良,2.02106E+17,5,4,モデュロール,牡,3,56,10,49.8,吉村圭司,CX01130,栗,モーリス,7.7,8未満,札幌芝1800
札幌,6,7,未勝利,,芝,0,1800,A,良,2.02106E+17,6,5,ハクシンパーソナル,牡,3,56,6,37.1,清水久詞,CX01110,栗,ワールドエース,7.7,8未満,札幌芝1800
札幌,6,7,未勝利,,芝,0,1800,A,良,2.02106E+17,7,5,シグナステソーロ,牡,3,54,8,12.5,加藤士津,CX01169,美,ブラックタイド,7.7,8未満,札幌芝1800
札幌,6,7,未勝利,,芝,0,1800,A,良,2.02106E+17,8,6,フェアビアンカ,牝,3,54,12,6.4,伊藤大士,CX01109,美,エイシンフラッシュ,7.7,8未満,札幌芝1800
札幌,6,7,未勝利,,芝,0,1800,A,良,2.02106E+17,9,6,ムラサメマル,牡,3,56,9,27.5,尾形和幸,CX01141,美,リオンディーズ,7.7,8未満,札幌芝1800
札幌,6,7,未勝利,,芝,0,1800,A,良,2.02106E+17,10,7,ウォリアープライド,牡,3,56,5,13.4,松永幹夫,CX01092,栗,マジェスティックウォリアー,7.7,8未満,札幌芝1800
札幌,6,7,未勝利,,芝,0,1800,A,良,2.02106E+17,11,7,カタリーナ,牝,3,54,3,22.2,松下武士,CX01149,栗,ドゥラメンテ,7.7,8未満,札幌芝1800
札幌,6,7,未勝利,,芝,0,1800,A,良,2.02106E+17,12,8,レヴォリオ,牡,3,56,7,10.2,青木孝文,CX01156,美,ジャスタウェイ,7.7,8未満,札幌芝1800
札幌,6,7,未勝利,,芝,0,1800,A,良,2.02106E+17,13,8,サトノディーバ,牝,3,54,2,3.3,矢作芳人,CX01075,栗,ドゥラメンテ,7.7,8未満,札幌芝1800
札幌,9,23,1勝,,芝,0,1200,A,良,2.02106E+17,1,1,オンラインドリーム,牝,3,49,8,8.9,武幸四郎,CX01160,栗,Frankel,7.7,8未満,札幌芝1200
札幌,9,23,1勝,,芝,0,1200,A,良,2.02106E+17,2,1,ブルメンダール,牡,3,54,3,2.7,国枝栄,CX00399,美,モーリス,7.7,8未満,札幌芝1200
