level,場所,surface,距離,距離変化区分,lead_n,first_n,win_n,LeadAdj_Raw,FirstAdj_Raw,WinAdj_Raw,LeadAdj_Prod,FirstAdj_Prod,WinAdj_Prod
COURSE,中京,芝,1200.0,短縮400m+,158,158,158,0.0,-0.0027633223774723437,-0.005618767920719317,0.0,-0.001570521351225289,-0.0009580201418780418
COURSE,中京,芝,1400.0,同距離,943,943,943,0.0,0.00048157354971389843,0.008890954278016838,0.0,0.00042720964946397577,0.00236618152892847
COURSE,中京,芝,1400.0,延長200-399,635,635,635,0.0,-0.00058787963238216,-0.012889090978786294,0.0,-0.0004944418100167836,-0.0032521481211374684
COURSE,中京,芝,1400.0,短縮200-399,511,511,511,0.0,-0.002414489122388508,0.010652829294878124,0.0,-0.001955315279778966,0.0025880803976304537
COURSE,中京,芝,1400.0,短縮400m+,188,188,188,0.0,-0.005622566716524391,-0.03234796181142158,0.0,-0.003431956307488914,-0.005923457942091483
COURSE,中京,芝,1600.0,同距離,1256,1256,1256,0.0,0.005397553697818136,0.02376064870557358,0.0,0.004926836805566554,0.006506549732747184
COURSE,中京,芝,1600.0,延長200-399,475,475,475,0.0,0.0011610867993498974,-0.020228623838844793,0.0,0.000926918033094456,-0.0048446704151855185
COURSE,中京,芝,1600.0,延長400m+,220,220,220,0.0,0.005076695247255181,-0.06132910230774432,0.0,0.0032849204541062936,-0.011905061036209192
COURSE,中京,芝,1600.0,短縮200-399,646,646,646,0.0,0.0006656515500447213,0.003981902476944674,0.0,0.0005613719338497258,0.0010074317232792137
COURSE,中京,芝,1600.0,短縮400m+,229,229,229,0.0,0.0012509457133871305,0.012370778597376758,0.0,0.000820821112795567,0.0024351647267615564
COURSE,中京,芝,2000.0,同距離,1600,1600,1600,0.008709209471198825,-0.087378977918942,0.019897592105849335,0.00324063608230654,-0.08128277015715535,0.005552816401632373
COURSE,中京,芝,2000.0,延長200-399,1055,1055,1055,0.017746531746080346,-0.07891806613771335,-0.011553829695098536,0.0063736479973156655,-0.0708583487449256,-0.0031121592327648393
COURSE,中京,芝,2000.0,延長400m+,395,395,395,0.045726614534489965,-0.08743579988268291,-0.0231562053625051,0.01402874776009595,-0.0670624096187568,-0.005328175408654086
