年月日,場所,R,馬番,レース名,芝・ダ,距離,馬名,性別,騎手,調教師,所属,父,芝・ダ,コースID,所属,日にち判定,前日判定,水曜日判定,木曜日判定,先週の土曜日判定,先週の日曜日判定,2w前の土曜日判定,2w前の日曜日判定,坂2w前 土 TIME1,坂2w前 土 LAP1,坂2w前 土 LAP2,坂2w前 日 TIME1,坂2w前 日 LAP1,坂2w前 日 LAP2,坂1w前 土 TIME1,坂1w前 土 LAP1,坂1w前 土 LAP2,坂1w前 日 TIME1,坂1w前 日 LAP1,坂1w前 日 LAP2, 坂 水 TIME1, 坂 水 LAP1, 坂 水 LAP2, 坂 水 LAP3, 坂 水 LAP4, 坂 木 TIME1, 坂 木 LAP1, 坂 木 LAP2, 坂 木 LAP3, 坂 木 LAP4, 坂 前日 TIME1,ウ2w前 土 １F,ウ2w前 日 １F,ウ1w前 土 １F,ウ1w前 土 5F,ウ1w前 日 １F,ウ1w前 日 5F,ウ 水 1F,ウ 水 4F,ウ 水 5F,ウ 水 6F,ウ 木 1F,ウ 木 4F,ウ 木 5F,ウ 木 6F,調教師判定,ウ 水1F,ウ 木1F,ウ 1F判定,ウ 前日 5F,水曜日A3,木曜日A3,A3LAP判定,水曜日B3,木曜日B3,B3LAP判定,前日坂路時計,前日坂路TIME１判定,水曜坂路爆速,木曜坂路爆速,坂路爆速判定,水曜地雷ラップ,木曜地雷ラップ,地雷ラップ判定,コース判定,A3高勝率Lap,本命候補判定,相手候補判定,ZI,脚質,枠,レースID,血統登録番号
20260922,中山,1,6,障害未勝利,ダ,2880,シュハリ,牡,大江原圭,粕谷昌央,美,カレンブラックヒル,-2146826259,中山ダ2880,-2146826259,46287,シュハリ46284,シュハリ46281,シュハリ46282,シュハリ46277,シュハリ46278,シュハリ46270,シュハリ46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,101,　,4,2.02609E+17,20105031
20260922,中山,1,7,障害未勝利,ダ,2880,アルシミスト,セ,坂口智康,浅利英明,美,オルフェーヴル,-2146826259,中山ダ2880,-2146826259,46287,アルシミスト46284,アルシミスト46281,アルシミスト46282,アルシミスト46277,アルシミスト46278,アルシミスト46270,アルシミスト46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,98,逃,5,2.02609E+17,21105805
20260922,中山,1,8,障害未勝利,ダ,2880,バンデルオーラ,牡,伴啓太,岩戸孝樹,美,トーセンラー,-2146826259,中山ダ2880,-2146826259,46287,バンデルオーラ46284,バンデルオーラ46281,バンデルオーラ46282,バンデルオーラ46277,バンデルオーラ46278,バンデルオーラ46270,バンデルオーラ46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,100,追,5,2.02609E+17,19104915
20260922,中山,1,9,障害未勝利,ダ,2880,アバットゥータ,牡,井上敏樹,中竹和也,栗,ハービンジャー,-2146826259,中山ダ2880,-2146826259,46287,アバットゥータ46284,アバットゥータ46281,アバットゥータ46282,アバットゥータ46277,アバットゥータ46278,アバットゥータ46270,アバットゥータ46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,103,差,6,2.02609E+17,22101139
20260922,中山,10,1,ディー･2勝,芝,1600,フミサウンド,牡,三浦皇成,鹿戸雄一,美,ジャスタウェイ,-2146826259,中山芝1600,-2146826259,46287,フミサウンド46284,フミサウンド46281,フミサウンド46282,フミサウンド46277,フミサウンド46278,フミサウンド46270,フミサウンド46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,96,差,1,2.02609E+17,20103218
20260922,中山,10,10,ディー･2勝,芝,1600,サヴァビアン,牡,菊沢一樹,新開幸一,美,カレンブラックヒル,-2146826259,中山芝1600,-2146826259,46287,サヴァビアン46284,サヴァビアン46281,サヴァビアン46282,サヴァビアン46277,サヴァビアン46278,サヴァビアン46270,サヴァビアン46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,85,差,8,2.02609E+17,18103473
20260922,中山,10,11,ディー･2勝,芝,1600,プリムツァール,牝,田辺裕信,蛯名正義,美,イスラボニータ,-2146826259,中山芝1600,-2146826259,46287,プリムツァール46284,プリムツァール46281,プリムツァール46282,プリムツァール46277,プリムツァール46278,プリムツァール46270,プリムツァール46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,127,先,8,2.02609E+17,22105501
20260922,中山,10,2,ディー･2勝,芝,1600,レッドレナート,牡,横山和生,手塚貴徳,美,レッドファルクス,-2146826259,中山芝1600,-2146826259,46287,レッドレナート46284,レッドレナート46281,レッドレナート46282,レッドレナート46277,レッドレナート46278,レッドレナート46270,レッドレナート46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,102,先,2,2.02609E+17,21103145
20260922,中山,10,3,ディー･2勝,芝,1600,ジャルディニエ,牝,斎藤新,奥村豊,栗,アドマイヤマーズ,-2146826259,中山芝1600,-2146826259,46287,ジャルディニエ46284,ジャルディニエ46281,ジャルディニエ46282,ジャルディニエ46277,ジャルディニエ46278,ジャルディニエ46270,ジャルディニエ46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,92,先,3,2.02609E+17,22105031
20260922,中山,10,4,ディー･2勝,芝,1600,エリム,牝,原田和真,上原博之,美,ダイワメジャー,-2146826259,中山芝1600,-2146826259,46287,エリム46284,エリム46281,エリム46282,エリム46277,エリム46278,エリム46270,エリム46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,94,追,4,2.02609E+17,20102803
